equipe,elo
Panjab,1551.5561031367752
New Caledonia,1551.4651719103326
Corsica,1548.4241156337039
Libya,1546.202214842195
Finland,1545.168892889999
Curaçao,1544.4487996550467
Artsakh,1539.9278343122478
Cascadia,1538.248153795339
Maule Sur,1537.6422288220485
Gambia,1533.705795196239
Menorca,1533.482599240392
Thailand,1529.90432472384
Crimea,1529.680434399873
Galicia,1529.6577592678386
Chameria,1528.847801083355
Qatar,1527.4911180253202
Bulgaria,1527.1432154143133
China PR,1526.9119901793406
Zambia,1524.7911208034009
Trinidad and Tobago,1523.4325470848808
Biafra,1522.439251718827
Sealand,1522.3091113346018
Surrey,1522.1167578672685
Donetsk PR,1520.520675636129
Malaysia,1519.2929793611097
Gabon,1519.227631031705
Quebec,1517.0892607388564
Felvidék,1516.882848575458
North Korea,1516.789905830536
Bahrain,1514.8882369166272
Vietnam,1514.2783041384007
Madagascar,1513.2953237810393
Parishes of Jersey,1513.1162160863032
Franconia,1510.9299548383588
Elba Island,1508.216667458275
Uganda,1507.4187880493394
Brittany,1506.7285149481013
Guadeloupe,1506.5448438522526
Silesia,1505.035897991172
Tahiti,1504.459509954763
Guyana,1501.8810796669152
Mapuche,1501.1500225556908
Matabeleland,1500.6019104165455
Shetland,1500.5545682448394
Monaco,1496.9092572757893
United Koreans in Japan,1495.2050466214775
Mozambique,1494.687269906593
Délvidék,1494.0581589295382
El Salvador,1492.9305031312551
Luhansk PR,1492.8693505294211
Sudan,1492.577251257405
Canary Islands,1492.4109591729616
Saugeais,1491.9144727171663
Niger,1491.1811523364786
South Ossetia,1489.320380926965
Togo,1488.3962625823674
Western Armenia,1488.3272744198168
Kenya,1487.3514648905407
Cilento,1486.3654018974646
Somaliland,1483.1052343776737
Greenland,1481.667448198037
Ryūkyū,1479.5007558943785
Yoruba Nation,1478.9650835333273
Madrid,1478.6007246071908
Kuwait,1477.8187115032804
Nicaragua,1476.6084428811307
Comoros,1476.353437390476
East Turkestan,1474.31746423161
Seborga,1474.2134530898188
Sierra Leone,1473.4214891124816
Hmong,1473.1105866523444
West Papua,1472.8659450725445
Zimbabwe,1472.3644162820112
Åland Islands,1471.679322892986
Gozo,1468.9867489642902
Chechnya,1468.466658884282
Romani people,1467.7883077200918
Papua New Guinea,1467.2332887293887
Lebanon,1466.8582633802287
Székely Land,1466.7724611097492
Dominican Republic,1465.7448230362086
Kabylia,1465.3741638846354
Kazakhstan,1463.4261610430747
Western Isles,1462.0252390611681
Equatorial Guinea,1461.781996959917
Montenegro,1461.6988801089187
Aymara,1461.2077486222606
Martinique,1460.568334979297
Republic of St. Pauli,1459.5636086271356
Mayotte,1456.3803939003337
Tajikistan,1455.1165705731253
Găgăuzia,1454.4012233594717
Provence,1454.1646468589597
Sápmi,1452.2014442109787
Mauritania,1450.478005357445
Ticino,1449.1819911138793
Rwanda,1448.7489116827483
Indonesia,1447.6633035245084
Kyrgyzstan,1443.1256092155961
Malawi,1437.762960952487
Two Sicilies,1437.7266544509303
Hitra,1437.1801894281934
Cuba,1435.6843340037778
Western Sahara,1435.4938800625832
Fiji,1434.8376524677644
Namibia,1434.4420733669888
Orkney,1433.3904079965987
Marshall Islands,1428.7244359602958
Vanuatu,1428.5600035217813
Sark,1427.3946164394456
French Guiana,1422.9664625612654
Micronesia,1422.2548682147526
Botswana,1422.0773875393072
Lesotho,1421.2290037122693
Burundi,1419.7187360003556
Turkmenistan,1415.0494600434688
Central African Republic,1411.9268103462628
Faroe Islands,1411.6746012053645
Ethiopia,1410.6368808484895
Saint Vincent and the Grenadines,1409.2892156697778
Vatican City,1408.420964467121
Raetia,1408.3228610796752
Ambazonia,1406.927295978889
Liberia,1404.818119998253
Saint Barthélemy,1404.6478849067166
Gotland,1404.3712302543781
Puerto Rico,1401.943435205251
Luxembourg,1397.9466620576945
Estonia,1396.037809313095
Armenia,1395.2556216257774
Tanzania,1390.6537119287098
Chagos Islands,1389.2319272405357
Azerbaijan,1389.0292181969196
Sint Maarten,1388.037686684961
Darfur,1383.2489148432874
Saint Pierre and Miquelon,1379.561127486545
Saare County,1379.2702721064438
Philippines,1376.1428464717792
Barawa,1375.7823672998613
Saint Helena,1373.8888267327693
Guinea-Bissau,1368.411570726747
Kiribati,1367.943403530697
Eswatini,1360.3811644172565
Solomon Islands,1359.9447197262343
Saint Martin,1358.2241192811568
Bermuda,1357.2283794882155
Yemen,1356.9398314177436
Hong Kong,1347.333520990561
Cyprus,1342.6803023768728
Singapore,1342.6517211224489
Congo,1342.1252621799058
Malta,1339.2087385390885
Belize,1335.8290486981057
Lithuania,1325.6284063478206
Montserrat,1325.1957682137424
Saint Kitts and Nevis,1324.1717259637992
Grenada,1323.9118095064732
Latvia,1322.878461757797
Samoa,1319.0572579671161
South Sudan,1310.5428279178948
Tibet,1303.58191360646
Saint Lucia,1301.580196409334
Tuvalu,1299.5539938605348
Moldova,1297.5293885671545
Aruba,1290.925692369149
Falkland Islands,1288.9005704484266
India,1287.07413998053
Afghanistan,1283.6082224660872
Chad,1280.4730665508912
Frøya,1278.1910782589455
Cook Islands,1270.3286073449106
Mauritius,1257.0787817082662
Dominica,1249.5002184296563
Bonaire,1246.7742088969133
São Tomé and Príncipe,1244.9710521758366
Eritrea,1244.216519006751
Nepal,1227.1014840321
Alderney,1223.8100785035845
Barbados,1218.282998077147
Bangladesh,1217.5845034742795
Myanmar,1217.4568993657488
Antigua and Barbuda,1193.5584073287962
Taiwan,1190.1312230245373
Turks and Caicos Islands,1186.9865051911054
Cayman Islands,1182.0459414142213
Tonga,1180.121644572327
British Virgin Islands,1171.1270118230577
Somalia,1169.6591696611995
Djibouti,1164.5232284359695
Maldives,1152.9749776987353
Northern Mariana Islands,1151.5246936272852
Andorra,1146.839316065489
Sri Lanka,1144.0139996719709
Gibraltar,1136.8390345679893
American Samoa,1136.3577996020474
Cambodia,1134.1675749239475
Guam,1130.347943559363
Pakistan,1127.4171548434329
United States Virgin Islands,1120.0431802554444
Mongolia,1118.3790103512756
Bahamas,1099.3288606468964
Seychelles,1097.2606949638914
Anguilla,1078.3001338845347
Laos,1072.3336472479757
Brunei,1068.4504193528282
Timor-Leste,1067.1871633955207
Liechtenstein,1058.5510269380518
Bhutan,1026.3382360192763
Macau,995.9714495003893
San Marino,958.4488808681882
